W_REGN,REGION,FOOD,CLOTH,HOUSING_WATER,HEALTH,EDUCATION,TOTAL_ANNUAL,TOTAL_MONTHLY
1,Region I - Ilocos Region,92503.13732394367,3591.9599871959026,46318.395326504484,8870.133802816901,3278.026888604353,154561.65332906533,12880.137777422111
2,Region II - Cagayan Valley,87459.54876057593,4033.176191183019,45870.99124239276,8096.360694671219,3209.704022561971,148669.7809113849,12389.148409282076
3,Region III - Central Luzon,110474.86729394054,4234.608054196462,65433.18268724125,9460.249830636056,3045.9849454271734,192648.89281144147,16054.074400953456
4,Region IVA - CALABARZON,114316.61474320242,3588.706586102719,62765.42356495468,10134.655226586103,5117.3566163141995,195922.75673716012,16326.896394763344
5,Region V - Bicol,88836.01671715472,3591.6802423426457,38114.14607876136,6521.439470436441,2556.5557051497813,139619.83821384495,11634.986517820413
6,Region VI - Western Visayas,91139.15704709671,3926.1271002002263,48319.15382606425,8936.207103682424,3464.314355358231,155784.95943240184,12982.079952700153
7,Region VII - Central Visayas,88543.78265117794,2895.5433720551514,57912.23971338617,6629.693735750733,3416.2026924329607,159397.46216480297,13283.121847066914
8,Region VIII - Eastern Visayas,91560.95037149933,3644.812345208611,42525.718422556674,6449.534292246142,1833.8170127643361,146014.8324442751,12167.902703689591
9,Region IX - Zamboanga Peninsula,78685.88471141137,3203.3220737259508,30919.40373035688,4314.7194889117345,1745.6463504185638,118868.97635482451,9905.74802956871
10,Region X - Northern Mindanao,77997.33386725398,3217.5482030233256,39835.73050355391,5574.194814295725,2665.4356792471717,129290.24306737412,10774.186922281177
11,Region XI - Davao,73178.84135762308,3103.6681847755367,36270.082628497075,4748.344719149859,2343.4111906310995,119644.34808067665,9970.362340056387
12,Region XII - SOCCSKSARGEN,77643.93468305616,4189.274885514582,32699.884309472163,5249.364666184622,2813.895758013979,122596.35430224151,10216.362858520126
13,National Capital Region,123020.52141638618,3169.9444879893035,97003.65623126931,7523.586841255937,4320.083175803403,235037.79215270412,19586.48267939201
14,Cordillera Administrative Region,90711.23308191913,4647.890006285355,52205.16593337523,7975.555415880997,5336.491933794259,160876.33637125496,13406.361364271246
16,Region XIII - Caraga,86727.1526647414,3807.046600157522,36801.96324494618,6735.083092675243,3007.080598582305,137078.32620110267,11423.19385009189
17,Region IVB - MIMAROPA,77359.01690391458,3586.2616770462632,37213.8256227758,6523.741325622776,1854.7475533807828,126537.5930827402,10544.799423561684
19,Bangsamoro Autonomous Region in Muslim Mindanao,88300.93667803214,3441.291159279104,20829.25937652216,2685.926570871895,898.8711641500244,116156.28494885532,9679.69041240461
